2023-12-08T11:18:27.2921378+01:00 100 -88 1056
2023-12-08T11:18:27.3434211+01:00 200 -36 944
2023-12-08T11:18:27.3963819+01:00 192 -60 1036
2023-12-08T11:18:27.4491284+01:00 252 -176 1048
2023-12-08T11:18:27.5016542+01:00 336 -84 956
2023-12-08T11:18:27.5553803+01:00 216 -304 1032
2023-12-08T11:18:27.6080760+01:00 296 -100 936
2023-12-08T11:18:27.6593665+01:00 144 -248 960
2023-12-08T11:18:27.7123042+01:00 20 -348 840
2023-12-08T11:18:27.7636221+01:00 -168 -492 920
2023-12-08T11:18:27.8161203+01:00 -176 -368 952
2023-12-08T11:18:27.8681174+01:00 400 592 1256
2023-12-08T11:18:27.9201103+01:00 552 824 1244
2023-12-08T11:18:27.9741675+01:00 -204 -1000 632
2023-12-08T11:18:28.0262458+01:00 472 696 912
2023-12-08T11:18:28.0801050+01:00 -308 -804 1136
2023-12-08T11:18:28.1312943+01:00 416 492 968
2023-12-08T11:18:28.1837359+01:00 -476 -960 1228
2023-12-08T11:18:28.2371928+01:00 320 432 888
2023-12-08T11:18:28.2900114+01:00 -200 -260 1132
2023-12-08T11:18:28.3440704+01:00 -40 -192 820
2023-12-08T11:18:28.3952913+01:00 204 280 892
2023-12-08T11:18:28.4474375+01:00 64 32 1172
2023-12-08T11:18:28.4993698+01:00 172 212 1064
2023-12-08T11:18:28.5514407+01:00 -20 -160 1064
2023-12-08T11:18:28.6040584+01:00 272 8 824
2023-12-08T11:18:28.6554504+01:00 112 -120 1056
2023-12-08T11:18:28.7073008+01:00 256 -28 988
2023-12-08T11:18:28.7593760+01:00 164 -264 992
2023-12-08T11:18:28.8113769+01:00 60 -292 1044
2023-12-08T11:18:28.8641769+01:00 88 -216 912
2023-12-08T11:18:28.9152896+01:00 208 -4 908
2023-12-08T11:18:28.9674596+01:00 48 -196 1092
2023-12-08T11:18:29.0201142+01:00 -20 -308 1080
2023-12-08T11:18:29.0713082+01:00 52 -220 940
2023-12-08T11:18:29.1242270+01:00 -212 -428 964
2023-12-08T11:18:29.1761596+01:00 -188 -228 1012
2023-12-08T11:18:29.2300819+01:00 204 392 1140
2023-12-08T11:18:29.2820986+01:00 484 676 1204
2023-12-08T11:18:29.3351818+01:00 -172 -1240 576
2023-12-08T11:18:29.3874875+01:00 504 488 1060
2023-12-08T11:18:29.4401975+01:00 16 -176 1268
2023-12-08T11:18:29.4913778+01:00 44 -308 640
2023-12-08T11:18:29.5435440+01:00 -416 -1432 972
2023-12-08T11:18:29.5961288+01:00 116 648 1120
2023-12-08T11:18:29.6482714+01:00 -396 -1104 1556
2023-12-08T11:18:29.7006722+01:00 148 -84 748
2023-12-08T11:18:29.7541862+01:00 -48 -236 1028
2023-12-08T11:18:29.8071619+01:00 196 -32 908
2023-12-08T11:18:29.8595147+01:00 -244 -460 1060
2023-12-08T11:18:29.9112138+01:00 92 32 968
2023-12-08T11:18:29.9631724+01:00 40 -68 892
2023-12-08T11:18:30.0153437+01:00 -84 -248 988
2023-12-08T11:18:30.0674777+01:00 236 -132 860
2023-12-08T11:18:30.1202430+01:00 16 -140 936
2023-12-08T11:18:30.1713943+01:00 -24 -224 1100
2023-12-08T11:18:30.2241292+01:00 -100 -168 928
2023-12-08T11:18:30.2764637+01:00 -24 -176 1060
2023-12-08T11:18:30.3301293+01:00 -44 -176 960
2023-12-08T11:18:30.3832386+01:00 -112 148 884
2023-12-08T11:18:30.4363061+01:00 -276 -268 444
2023-12-08T11:18:30.4886022+01:00 492 24 228
